field,career,gpa,extracurricular_activities,internships,projects,leadership_positions,field_specific_courses,research_experience,coding_skills,communication_skills,problem_solving_skills,teamwork_skills,analytical_skills,presentation_skills,networking_skills,industry_certifications
7,16,2.82,5,0,2,0,3,1,4,4,7,2,10,0,1,1
4,6,3.21,1,2,0,0,8,1,3,4,0,3,0,3,0,1
7,41,3.71,1,0,0,0,5,0,1,1,7,2,7,3,4,1
13,67,3.24,3,1,3,0,1,0,4,1,3,1,2,1,2,0
9,56,3.87,0,2,4,0,0,0,4,9,3,4,4,3,2,0
10,32,3.22,2,0,0,1,2,0,0,9,4,3,1,2,4,1
11,68,3.933088072887468,4,0,1,1,0,1,1,2,4,2,2,3,0,0
5,88,3.5,2,1,0,0,0,0,10,3,3,4,4,2,4,0
6,35,2.94,3,2,0,1,3,0,0,0,1,0,2,3,3,1
11,73,3.5282057895135504,5,2,2,1,7,0,2,4,4,4,0,3,2,1
3,25,3.19,0,2,1,1,5,1,2,10,1,3,0,0,4,1
6,75,3.86,5,1,1,1,5,1,1,1,4,2,4,0,2,0
7,41,2.02,4,2,3,1,4,1,1,3,7,3,10,1,2,0
4,20,2.8,4,2,4,0,7,0,2,1,2,1,4,2,2,0
7,19,2.44,0,0,0,1,0,0,3,0,8,0,8,0,3,0
0,9,3.91,3,2,1,1,1,1,2,2,1,0,1,3,2,1
4,49,2.28,0,2,3,1,0,0,2,3,2,3,4,2,3,0
9,54,2.66,0,2,3,0,7,0,2,7,4,3,1,3,0,1
12,23,2.29,7,1,1,1,0,1,2,2,1,3,4,3,1,1
11,33,3.523332831606808,6,2,2,0,4,1,1,2,3,3,3,3,1,1
10,59,3.74,4,0,4,0,3,1,1,10,3,1,0,1,2,1
13,67,3.24,1,0,2,1,6,1,2,0,0,3,0,0,4,0
2,34,2.47,7,0,0,1,6,0,4,3,0,2,1,1,3,1
5,0,2.63,2,1,2,0,8,1,9,0,3,1,1,4,2,0
8,38,3.53,8,0,4,0,8,1,3,0,0,1,9,1,4,1
4,49,3.93,1,2,3,0,9,1,0,0,4,1,0,3,0,0
0,53,3.68,1,1,4,1,8,0,1,0,2,3,4,3,2,1
2,15,2.3,6,2,1,0,3,1,0,4,1,0,1,0,3,1
11,68,3.929970203368161,8,2,0,0,7,1,1,4,2,0,1,2,1,1
12,83,2.93,5,0,0,1,8,0,1,1,2,3,0,3,1,0
5,29,2.07,0,2,4,1,6,1,10,2,1,0,2,2,4,1
4,20,2.73,7,1,1,1,5,1,0,0,1,2,0,2,2,0
4,49,4.0,2,0,4,0,5,1,0,0,2,3,1,4,0,0
10,61,2.58,1,1,4,1,1,0,4,8,0,1,1,4,2,1
0,87,2.43,5,1,1,1,5,1,1,2,2,3,1,2,0,0
14,79,3.65,1,0,4,0,0,0,4,0,4,1,4,0,2,0
1,45,2.55,5,0,3,0,6,1,2,3,4,0,2,3,3,1
7,62,2.34,1,2,4,0,4,1,1,3,10,1,10,3,0,1
12,66,3.03,8,1,3,0,8,1,2,1,2,4,4,1,2,0
9,55,3.66,9,0,0,0,9,0,0,10,2,4,3,3,0,0
9,52,2.76,5,2,3,0,3,0,3,8,0,3,0,1,0,1
13,74,2.43,7,1,3,0,5,1,1,3,4,1,0,4,4,1
10,59,2.71,3,0,2,0,1,0,3,8,2,0,2,4,1,0
10,59,3.23,2,0,4,1,5,0,1,8,1,2,3,3,3,1
0,87,2.23,3,0,3,1,3,1,3,2,3,2,2,2,2,1
6,84,2.44,3,2,1,0,7,0,2,4,0,4,2,0,3,0
11,73,3.515656646227779,6,2,1,0,5,0,4,2,1,4,2,0,0,1
4,69,2.51,8,2,3,0,0,0,3,1,3,3,0,3,4,0
12,64,3.34,8,1,3,1,8,0,1,3,2,2,4,3,1,0
4,69,3.37,0,1,4,1,9,1,4,1,3,3,0,0,3,1
5,29,2.9,0,0,0,1,5,0,8,1,4,3,0,2,4,0
3,25,2.21,1,1,2,0,4,0,0,8,0,3,2,4,4,1
13,67,3.0,7,2,2,1,2,0,3,1,1,1,3,1,4,1
6,84,2.8,4,2,4,1,8,1,2,0,1,4,2,0,2,0
7,21,2.34,0,0,2,1,3,1,2,1,10,1,8,3,1,0
11,31,3.694338644844741,6,2,2,1,6,0,1,4,2,1,4,2,3,0
2,63,3.12,9,0,3,1,8,1,2,3,1,1,2,0,4,1
4,72,3.1,6,1,4,1,8,0,3,4,4,2,3,1,3,0
8,78,3.0,1,2,1,1,0,1,3,0,3,0,8,2,0,1
9,54,2.81,6,1,2,1,6,1,1,10,3,0,1,4,4,1
1,47,3.64,3,0,3,1,5,0,1,0,0,2,0,2,1,0
11,85,3.648136752852041,4,0,0,1,1,1,0,0,0,3,2,1,1,1
9,55,2.87,4,2,4,1,0,1,3,7,2,1,4,2,0,1
14,79,2.85,5,1,1,1,1,1,0,0,2,3,1,0,3,0
6,86,2.79,7,1,4,1,7,1,0,0,2,1,2,4,3,1
9,54,2.45,0,0,3,0,6,1,0,10,0,0,1,1,3,1
10,32,3.51,8,0,3,1,2,0,2,9,2,1,2,4,3,0
10,18,2.06,0,0,4,1,4,0,2,7,0,0,2,0,0,0
13,77,2.45,7,0,3,0,7,0,1,3,4,1,3,1,2,0
4,6,3.14,0,2,1,1,5,1,2,3,4,3,0,0,1,0
12,23,2.44,5,0,1,0,1,0,0,4,4,0,0,4,0,0
8,51,2.71,0,1,3,1,4,1,2,0,3,3,7,1,1,0
10,81,3.72,3,2,3,0,3,0,2,9,3,4,1,4,0,0
4,69,2.02,1,1,0,0,7,0,3,1,1,1,3,4,4,0
13,74,3.74,2,2,4,1,3,0,4,0,0,3,1,4,0,1
1,47,2.78,1,0,5,1,2,0,2,4,1,2,3,0,0,0
4,20,3.37,1,0,2,0,7,0,2,3,4,3,4,2,3,1
11,71,3.6654490124263246,9,2,0,0,5,1,1,0,0,2,0,4,4,0
1,7,3.72,6,0,5,0,8,0,1,0,2,2,4,0,1,1
6,84,3.11,6,1,0,0,7,0,3,4,0,4,2,0,3,1
4,6,2.25,9,0,2,0,4,0,1,2,3,4,1,0,1,0
14,80,3.18,0,0,3,1,2,0,0,0,3,2,0,1,3,0
9,54,2.31,3,0,2,1,6,0,3,9,1,1,0,4,3,1
9,55,2.51,0,1,1,0,4,0,1,9,2,2,0,0,3,0
8,38,2.03,9,1,1,0,3,0,3,3,2,1,9,1,2,1
11,85,3.860864760582437,6,1,4,0,3,1,0,3,2,4,3,3,0,0
7,16,2.58,5,0,1,1,1,1,0,1,8,0,9,2,1,0
11,68,3.761366414690997,2,1,4,0,9,0,3,0,2,3,1,3,4,1
5,29,2.82,2,0,0,0,0,0,8,2,2,4,4,3,3,0
10,59,3.53,9,1,2,1,5,1,1,7,3,4,2,2,0,1
9,52,3.9,5,1,0,0,2,0,3,9,0,1,4,1,3,1
0,8,3.84,3,0,4,0,0,0,1,2,1,1,2,3,3,0
0,53,3.18,4,2,2,0,1,0,3,0,2,0,0,0,3,0
7,2,3.24,0,0,3,0,3,0,0,3,10,3,10,3,3,1
