Field,Career,GPA,Extracurricular_Activities,Internships,Projects,Leadership_Positions,Field_Specific_Courses,Research_Experience,Coding_Skills,Communication_Skills,Problem_Solving_Skills,Teamwork_Skills,Analytical_Skills,Presentation_Skills,Networking_Skills,Industry_Certifications
Engineering,Biomedical Engineer,2.82,5,0,2,0,3,1,4,4,7,2,10,0,1,1
Chemistry,Analytical Chemist,3.21,1,2,0,0,8,1,3,4,0,3,0,3,0,1
Engineering,Fluid Mechanics Engineer,3.71,1,0,0,0,5,0,1,1,7,2,7,3,4,1
Physics,Nuclear Physicist,3.24,3,1,3,0,1,0,4,1,3,1,2,1,2,0
Law,Legal Consultant,3.87,0,2,4,0,0,0,4,9,3,4,4,3,2,0
Marketing,Digital Marketing Specialist,3.22,2,0,0,1,2,0,0,9,4,3,1,2,4,1
Medicine,Nurse,3.9330880728874678,4,0,1,1,0,1,1,2,4,2,2,3,0,0
Computer Science,Web Developer,3.5,2,1,0,0,0,0,10,3,3,4,4,2,4,0
Education,Education Administrator,2.94,3,2,0,1,3,0,0,0,1,0,2,3,3,1
Medicine,Physician Assistant,3.5282057895135504,5,2,2,1,7,0,2,4,4,4,0,3,2,1
Business,Construction Manager,3.19,0,2,1,1,5,1,2,10,1,3,0,0,4,1
Education,Principal,3.86,5,1,1,1,5,1,1,1,4,2,4,0,2,0
Engineering,Fluid Mechanics Engineer,2.02,4,2,3,1,4,1,1,3,7,3,10,1,2,0
Chemistry,Chemist,2.8,4,2,4,0,7,0,2,1,2,1,4,2,2,0
Engineering,Chemical Engineer,2.44,0,0,0,1,0,0,3,0,8,0,8,0,3,0
Architecture,Architectural Technologist,3.91,3,2,1,1,1,1,2,2,1,0,1,3,2,1
Chemistry,Inorganic Chemist,2.28,0,2,3,1,0,0,2,3,2,3,4,2,3,0
Law,Lawyer,2.66,0,2,3,0,7,0,2,7,4,3,1,3,0,1
Music,Composer,2.29,7,1,1,1,0,1,2,2,1,3,4,3,1,1
Medicine,Doctor,3.5233328316068078,6,2,2,0,4,1,1,2,3,3,3,3,1,1
Marketing,Market Research Analyst,3.74,4,0,4,0,3,1,1,10,3,1,0,1,2,1
Physics,Nuclear Physicist,3.24,1,0,2,1,6,1,2,0,0,3,0,0,4,0
Biology,Ecologist,2.47,7,0,0,1,6,0,4,3,0,2,1,1,3,1
Computer Science,AI Researcher,2.63,2,1,2,0,8,1,9,0,3,1,1,4,2,0
Finance,Financial Advisor,3.53,8,0,4,0,8,1,3,0,0,1,9,1,4,1
Chemistry,Inorganic Chemist,3.93,1,2,3,0,9,1,0,0,4,1,0,3,0,0
Architecture,Landscape Architect,3.68,1,1,4,1,8,0,1,0,2,3,4,3,2,1
Biology,Biologist,2.3,6,2,1,0,3,1,0,4,1,0,1,0,3,1
Medicine,Nurse,3.9299702033681605,8,2,0,0,7,1,1,4,2,0,1,2,1,1
Music,Sound Engineer,2.93,5,0,0,1,8,0,1,1,2,3,0,3,1,0
Computer Science,Cybersecurity Analyst,2.07,0,2,4,1,6,1,10,2,1,0,2,2,4,1
Chemistry,Chemist,2.73,7,1,1,1,5,1,0,0,1,2,0,2,2,0
Chemistry,Inorganic Chemist,4.0,2,0,4,0,5,1,0,0,2,3,1,4,0,0
Marketing,Marketing Specialist,2.58,1,1,4,1,1,0,4,8,0,1,1,4,2,1
Architecture,Urban Planner,2.43,5,1,1,1,5,1,1,2,2,3,1,2,0,0
Psychology,School Counselor,3.65,1,0,4,0,0,0,4,0,4,1,4,0,2,0
Art,Graphic Designer,2.55,5,0,3,0,6,1,2,3,4,0,2,3,3,1
Engineering,Mechanical Engineer,2.34,1,2,4,0,4,1,1,3,10,1,10,3,0,1
Music,Musician,3.03,8,1,3,0,8,1,2,1,2,4,4,1,2,0
Law,Legal Analyst,3.66,9,0,0,0,9,0,0,10,2,4,3,3,0,0
Law,Judge,2.76,5,2,3,0,3,0,3,8,0,3,0,1,0,1
Physics,Physicist,2.43,7,1,3,0,5,1,1,3,4,1,0,4,4,1
Marketing,Market Research Analyst,2.71,3,0,2,0,1,0,3,8,2,0,2,4,1,0
Marketing,Market Research Analyst,3.23,2,0,4,1,5,0,1,8,1,2,3,3,3,1
Architecture,Urban Planner,2.23,3,0,3,1,3,1,3,2,3,2,2,2,2,1
Education,Special Education Teacher,2.44,3,2,1,0,7,0,2,4,0,4,2,0,3,0
Medicine,Physician Assistant,3.515656646227779,6,2,1,0,5,0,4,2,1,4,2,0,0,1
Chemistry,Organic Chemist,2.51,8,2,3,0,0,0,3,1,3,3,0,3,4,0
Music,Music Teacher,3.34,8,1,3,1,8,0,1,3,2,2,4,3,1,0
Chemistry,Organic Chemist,3.37,0,1,4,1,9,1,4,1,3,3,0,0,3,1
Computer Science,Cybersecurity Analyst,2.9,0,0,0,1,5,0,8,1,4,3,0,2,4,0
Business,Construction Manager,2.21,1,1,2,0,4,0,0,8,0,3,2,4,4,1
Physics,Nuclear Physicist,3.0,7,2,2,1,2,0,3,1,1,1,3,1,4,1
Education,Special Education Teacher,2.8,4,2,4,1,8,1,2,0,1,4,2,0,2,0
Engineering,Civil Engineer,2.34,0,0,2,1,3,1,2,1,10,1,8,3,1,0
Medicine,Dentist,3.694338644844741,6,2,2,1,6,0,1,4,2,1,4,2,3,0
Biology,Microbiologist,3.12,9,0,3,1,8,1,2,3,1,1,2,0,4,1
Chemistry,Physical Chemist,3.1,6,1,4,1,8,0,3,4,4,2,3,1,3,0
Finance,Risk Analyst,3.0,1,2,1,1,0,1,3,0,3,0,8,2,0,1
Law,Lawyer,2.81,6,1,2,1,6,1,1,10,3,0,1,4,4,1
Art,Illustrator,3.64,3,0,3,1,5,0,1,0,0,2,0,2,1,0
Medicine,Surgeon,3.648136752852041,4,0,0,1,1,1,0,0,0,3,2,1,1,1
Law,Legal Analyst,2.87,4,2,4,1,0,1,3,7,2,1,4,2,0,1
Psychology,School Counselor,2.85,5,1,1,1,1,1,0,0,2,3,1,0,3,0
Education,Teacher,2.79,7,1,4,1,7,1,0,0,2,1,2,4,3,1
Law,Lawyer,2.45,0,0,3,0,6,1,0,10,0,0,1,1,3,1
Marketing,Digital Marketing Specialist,3.51,8,0,3,1,2,0,2,9,2,1,2,4,3,0
Marketing,Brand Manager,2.06,0,0,4,1,4,0,2,7,0,0,2,0,0,0
Physics,Quantum Physicist,2.45,7,0,3,0,7,0,1,3,4,1,3,1,2,0
Chemistry,Analytical Chemist,3.14,0,2,1,1,5,1,2,3,4,3,0,0,1,0
Music,Composer,2.44,5,0,1,0,1,0,0,4,4,0,0,4,0,0
Finance,Investment Banker,2.71,0,1,3,1,4,1,2,0,3,3,7,1,1,0
Marketing,Social Media Manager,3.72,3,2,3,0,3,0,2,9,3,4,1,4,0,0
Chemistry,Organic Chemist,2.02,1,1,0,0,7,0,3,1,1,1,3,4,4,0
Physics,Physicist,3.74,2,2,4,1,3,0,4,0,0,3,1,4,0,1
Art,Illustrator,2.78,1,0,5,1,2,0,2,4,1,2,3,0,0,0
Chemistry,Chemist,3.37,1,0,2,0,7,0,2,3,4,3,4,2,3,1
Medicine,Pharmacist,3.6654490124263246,9,2,0,0,5,1,1,0,0,2,0,4,4,0
Art,Animator,3.72,6,0,5,0,8,0,1,0,2,2,4,0,1,1
Education,Special Education Teacher,3.11,6,1,0,0,7,0,3,4,0,4,2,0,3,1
Chemistry,Analytical Chemist,2.25,9,0,2,0,4,0,1,2,3,4,1,0,1,0
Psychology,School Psychologist,3.18,0,0,3,1,2,0,0,0,3,2,0,1,3,0
Law,Lawyer,2.31,3,0,2,1,6,0,3,9,1,1,0,4,3,1
Law,Legal Analyst,2.51,0,1,1,0,4,0,1,9,2,2,0,0,3,0
Finance,Financial Advisor,2.03,9,1,1,0,3,0,3,3,2,1,9,1,2,1
Medicine,Surgeon,3.8608647605824364,6,1,4,0,3,1,0,3,2,4,3,3,0,0
Engineering,Biomedical Engineer,2.58,5,0,1,1,1,1,0,1,8,0,9,2,1,0
Medicine,Nurse,3.761366414690997,2,1,4,0,9,0,3,0,2,3,1,3,4,1
Computer Science,Cybersecurity Analyst,2.82,2,0,0,0,0,0,8,2,2,4,4,3,3,0
Marketing,Market Research Analyst,3.53,9,1,2,1,5,1,1,7,3,4,2,2,0,1
Law,Judge,3.9,5,1,0,0,2,0,3,9,0,1,4,1,3,1
Architecture,Architect,3.84,3,0,4,0,0,0,1,2,1,1,2,3,3,0
Architecture,Landscape Architect,3.18,4,2,2,0,1,0,3,0,2,0,0,0,3,0
Engineering,Acoustics Specialist,3.24,0,0,3,0,3,0,0,3,10,3,10,3,3,1
Finance,Financial Advisor,2.47,8,0,1,0,4,0,1,3,4,0,7,2,1,1
Business,Human Resources Specialist,2.21,3,1,3,1,7,0,0,9,2,2,0,2,1,0
Marketing,Advertising Manager,2.21,2,2,0,1,6,1,2,9,3,0,1,0,1,0
Marketing,Brand Manager,3.14,1,0,3,1,2,0,0,7,1,3,1,1,3,1
Computer Science,Web Developer,2.62,6,2,1,0,0,0,7,0,0,2,0,3,4,1
Chemistry,Analytical Chemist,3.15,9,1,2,0,2,1,3,1,2,0,0,2,3,1
Chemistry,Analytical Chemist,3.65,9,2,1,1,5,1,0,3,1,2,1,0,1,1
Music,Musician,2.76,6,2,4,1,3,0,2,1,3,4,4,3,4,0
Business,Entrepreneur,3.13,2,0,0,0,7,1,0,7,1,3,0,2,2,0
Psychology,School Counselor,2.78,9,0,3,1,0,1,4,0,0,3,3,2,0,1
Marketing,Advertising Manager,3.49,7,1,3,1,4,0,1,8,4,1,4,1,1,1
Architecture,Landscape Architect,2.32,8,2,2,1,0,1,4,1,3,4,3,1,4,1
Physics,Quantum Physicist,3.45,2,0,1,0,1,0,3,2,4,2,3,1,3,1
Chemistry,Inorganic Chemist,3.27,7,0,1,1,5,1,4,1,3,4,1,4,0,1
Computer Science,Web Developer,3.61,8,2,1,0,5,1,10,1,0,0,4,0,4,0
Engineering,Aerospace Engineer,2.37,3,1,3,0,8,1,1,2,9,0,8,1,1,1
Engineering,Fluid Mechanics Engineer,2.73,6,2,3,0,7,0,1,2,9,2,8,0,1,0
Marketing,Market Research Analyst,3.26,5,1,3,0,5,0,0,7,0,0,4,0,2,0
Medicine,Physician Assistant,3.5550259622638385,3,0,1,1,4,0,1,4,3,1,3,2,4,1
Engineering,Civil Engineer,3.26,8,1,3,0,2,0,4,0,8,4,9,4,3,1
Marketing,Marketing Manager,2.31,4,1,2,0,8,0,2,10,2,0,1,2,3,1
Music,Sound Engineer,2.52,5,1,3,1,1,1,3,1,0,0,0,1,1,0
Architecture,Interior Designer,3.56,8,0,2,1,6,1,1,2,1,2,3,0,0,1
Finance,Credit Analyst,3.84,1,2,4,0,6,0,4,1,2,2,8,2,0,1
